folder_name,market,report_length
NASDAQ_SCHN_2018_2019,NASDAQ,126613
NASDAQ_ESTA_2021,NASDAQ,76788
NASDAQ_XLNX_2019_2020,NASDAQ,96858
NASDAQ_IOSP_2012,NASDAQ,69880
NASDAQ_SSYS_2020_2021,NASDAQ,162596
NASDAQ_AEGN_2007,NASDAQ,127757
NASDAQ_AMAT_2019,NASDAQ,180594
NASDAQ_TROW_2021,NASDAQ,117913
NASDAQ_MDLZ_2013,NASDAQ,69241
NASDAQ_ISRG_2018_2019,NASDAQ,58191
NASDAQ_CSX_2017,NASDAQ,14069
NASDAQ_UMPQ_2019,NASDAQ,106816
NASDAQ_CEQP_2018,NASDAQ,26564
NASDAQ_XOG_2019,NASDAQ,37660
NASDAQ_VEON_2019,NASDAQ,230755
NASDAQ_SP_2021,NASDAQ,42248
NASDAQ_GRMN_2016,NASDAQ,30943
NASDAQ_SP_2017,NASDAQ,85379
NASDAQ_SBUX_2012,NASDAQ,42009
NASDAQ_FHB_2020,NASDAQ,59278
NASDAQ_MMSI_2021,NASDAQ,93203
NASDAQ_ERII_2019,NASDAQ,68462
NASDAQ_AMGN_2011,NASDAQ,16290
NASDAQ_AMAT_2017,NASDAQ,64520
NASDAQ_CLNE_2016,NASDAQ,92166
NASDAQ_INTC_2016,NASDAQ,281071
NASDAQ_ICFI_2021,NASDAQ,150037
NASDAQ_LBTYA_2019,NASDAQ,64788
NASDAQ_WYNN_2018,NASDAQ,87408
NASDAQ_LNDC_2020_2021,NASDAQ,88163
NASDAQ_CNSL_2021,NASDAQ,76440
NASDAQ_TSCO_2015,NASDAQ,25323
NASDAQ_FITB_2019,NASDAQ,278249
NASDAQ_DNKN_2013_2014,NASDAQ,119835
NASDAQ_MSEX_2018_2019,NASDAQ,155293
NASDAQ_PRGO_2019,NASDAQ,40428
NASDAQ_NVDA_2017,NASDAQ,144011
NASDAQ_PETD_2020,NASDAQ,147415
NASDAQ_PAYX_2018_2019,NASDAQ,13187
NASDAQ_INFN_2019,NASDAQ,98333
NASDAQ_ADBE_2013,NASDAQ,11620
NASDAQ_LRCX_2017_2018,NASDAQ,94366
NASDAQ_BBBY_2020,NASDAQ,111399
NASDAQ_NBIX_2022,NASDAQ,34042
NASDAQ_AEGN_2021,NASDAQ,76889
NASDAQ_HWC_2020,NASDAQ,77906
NASDAQ_KLAC_2020,NASDAQ,148667
NASDAQ_MSFT_2011,NASDAQ,141724
NASDAQ_FELE_2020,NASDAQ,77835
NASDAQ_IOSP_2015,NASDAQ,78043
NASDAQ_PRGS_2021,NASDAQ,41023
NASDAQ_CVGW_2021,NASDAQ,50517
NASDAQ_SNPS_2020,NASDAQ,100789
NASDAQ_LRCX_2018_2019,NASDAQ,130265
NASDAQ_VRSK_2021,NASDAQ,135002
NASDAQ_CZR_2015_2016,NASDAQ,211825
NASDAQ_STLD_2018,NASDAQ,5808
NASDAQ_FB_2019,NASDAQ,45589
NASDAQ_GOOG_2017,NASDAQ,83955
NASDAQ_PYPL_2019,NASDAQ,93981
NASDAQ_CSCO_2005,NASDAQ,179689
NASDAQ_COLM_2018,NASDAQ,112654
NASDAQ_SHOO_2020,NASDAQ,80582
NASDAQ_SENEA_2019,NASDAQ,32075
NASDAQ_CG_2022,NASDAQ,189177
NASDAQ_CVLT_2019_2020,NASDAQ,53631
NASDAQ_FLS_2019,NASDAQ,96718
NASDAQ_ITRI_2019,NASDAQ,60227
NASDAQ_ERII_2020,NASDAQ,170047
NASDAQ_CWST_2021,NASDAQ,81933
NASDAQ_SBUX_2014,NASDAQ,41171
NASDAQ_WDC_2019,NASDAQ,130693
NASDAQ_GOOG_2016,NASDAQ,110691
NASDAQ_AKAM_2021,NASDAQ,33650
NASDAQ_HSIC_2018,NASDAQ,62709
NASDAQ_NUAN_2020,NASDAQ,62661
NASDAQ_AMAT_2018,NASDAQ,102261
NASDAQ_BCPC_2021,NASDAQ,97292
NASDAQ_CMCSA_2015,NASDAQ,110343
NASDAQ_AMD_2020_2021,NASDAQ,200253
NASDAQ_JBLU_2007,NASDAQ,53390
NASDAQ_MELI_2020,NASDAQ,138937
NASDAQ_SBUX_2002,NASDAQ,84458
NASDAQ_SPTN_2016,NASDAQ,42374
NASDAQ_ADSK_2022,NASDAQ,261234
NASDAQ_GOGL_2021,NASDAQ,50676
NASDAQ_WETF_2020,NASDAQ,35392
NASDAQ_MSFT_2005,NASDAQ,71599
NASDAQ_MEOH_2017,NASDAQ,61694
NASDAQ_VRTU_2017_2018,NASDAQ,101451
NASDAQ_NDAQ_2021,NASDAQ,162586
NASDAQ_AEGN_2004,NASDAQ,21641
NASDAQ_TXN_2012,NASDAQ,42647
NASDAQ_RAVN_2017,NASDAQ,16154
NASDAQ_COMM_2013,NASDAQ,61336
NASDAQ_FWRD_2021,NASDAQ,50500
NASDAQ_SGS_2021,NASDAQ,98949
NASDAQ_ASNA_2019,NASDAQ,44156
NASDAQ_NLOK_2018,NASDAQ,71197
NASDAQ_WBA_2015,NASDAQ,93102
NASDAQ_PTC_2017_2018,NASDAQ,59097
NASDAQ_QCOM_2012_2013,NASDAQ,56413
NASDAQ_EQIX_2015,NASDAQ,75535
NASDAQ_STX_2019,NASDAQ,163234
NASDAQ_MCHP_2021,NASDAQ,132043
NASDAQ_ROST_2019_2020,NASDAQ,32617
NASDAQ_NXPI_2019,NASDAQ,225625
NASDAQ_FLIR_2021,NASDAQ,48058
NASDAQ_VIAV_2020,NASDAQ,11594
NASDAQ_AAON_2019_2020,NASDAQ,17811
NASDAQ_SFM_2020,NASDAQ,68414
NASDAQ_AEGN_2009,NASDAQ,237441
NASDAQ_CREE_2020,NASDAQ,157322
NASDAQ_THRM_2020,NASDAQ,93956
NASDAQ_AEGN_2016,NASDAQ,216640
NASDAQ_REGI_2020,NASDAQ,81231
NASDAQ_CDNS_2018,NASDAQ,33587
NASDAQ_CLNE_2017,NASDAQ,72829
